,Energy Deposited,SiPM Hits,Photons,x_pos,y_pos,z_pos,LCE,log(LCE),Distance
6,0.520275,5,4146,0.30178307086614176,-0.3015437007874016,5.444440944881889,0.00120598166907863,-6.720461380561624,5.461129812378787
12,0.5181319999999999,43,4154,0.03776448818897638,-0.17769133858267716,0.9244251968503933,0.010351468464130958,-4.5706268887424955,0.9421052557688908
16,0.481267,9,3815,-0.2515681102362205,0.2621692913385827,6.824468503937008,0.00235910878112713,-6.049471366382338,6.834134152373439
26,0.461721,19,3663,-0.1268547244094488,-0.1810232283464567,3.207240157480315,0.005187005187005187,-5.261598783612374,3.2148485124590747
29,0.545854,7,4289,0.1277751968503937,0.39387795275590554,6.114503937007875,0.0016320820704126837,-6.417898735461567,6.128509177465768
37,0.5006470000000001,62,3973,0.16365866141732285,0.13348385826771655,1.8564606299212596,0.015605336018122326,-4.160142370769507,1.8684346839861932
41,0.493742,156,4052,0.1882271653543307,0.03214956692913386,1.1080157480314958,0.0384995064165844,-3.257109858119037,1.1243495712263392
43,0.57932,7,4676,0.3978937007874016,0.5404212598425197,3.251070866141732,0.0014970059880239522,-6.504288173536645,3.319613879940199
49,0.49482200000000004,1,3911,0.0015201535433070868,0.5083582677165355,4.1085814960629925,0.00025568908207619537,-8.271548374755515,4.139912118513359
57,0.46165500000000004,89,3735,0.4863818897637796,0.12976141732283467,0.3787755905511808,0.023828647925033468,-3.736866727834778,0.6299812029840351
58,0.533058,2,4048,0.011528779527559057,0.18371141732283466,6.646850393700787,0.0004940711462450593,-7.6128310304073565,6.649398691148882
59,0.510501,37,4132,-0.25429291338582677,-0.09462795275590552,1.2328543307086612,0.008954501452081317,-4.715598917595305,1.2623585607853762
65,0.498354,5,3974,0.4385551181102363,-0.2593740157480315,4.780192913385827,0.0012581781580271766,-6.678090510677662,4.807270510471615
70,0.47658,1,3785,0.21802283464566932,0.5576259842519685,7.684885826771654,0.0002642007926023778,-8.23880116587155,7.708174288718163
82,0.467301,17,3783,0.4745748031496063,0.09398937007874016,3.0838110236220473,0.004493787998942638,-5.405059280576813,3.1215293807499465
86,0.46187799999999996,50,3582,0.30839803149606304,-0.4516574803149606,1.4407834645669293,0.013958682300390842,-4.271653577192511,1.5410907880863443
94,0.479087,4,3839,0.07061417322834647,-0.1546283464566929,5.576114173228347,0.001041938004688721,-6.866672833880907,5.578704648918663
111,0.477501,103,3853,-0.08934173228346456,-0.26118543307086617,1.6270629921259843,0.0267324162989878,-3.621878356396522,1.6503132296390848
125,0.452479,249,3648,0.34155551181102367,-0.12113976377952757,0.6353425196850392,0.06825657894736842,-2.6844814547295144,0.7314336110248041
126,0.513795,4,4104,-0.04618897637795276,-0.42446456692913387,4.020024566929134,0.0009746588693957114,-6.933423025730715,4.042635416263869
129,0.47968999999999995,5,3797,0.34735,-0.43104330708661415,6.246669291338582,0.001316829075585989,-6.632528647797702,6.271150420013591
139,0.46546400000000004,19,3850,0.8039173228346457,-0.25340078740157485,3.160003937007874,0.0049350649350649355,-5.311389448115389,3.2704923028367805
144,0.46144300000000005,3,3779,-0.17511692913385826,0.5628661417322834,6.303224409448819,0.0007938608097380259,-7.13860241468138,6.330728408978644
153,0.479896,12,3925,0.009291220472440945,0.03746889763779528,4.630192913385827,0.003057324840764331,-5.790214980428509,4.630353837476828
154,0.47338500000000006,5,3709,0.015442952755905513,-0.16405236220472444,3.9317645669291337,0.0013480722566729577,-6.60907966505549,3.935215911750486
155,0.519227,72,3956,-0.13065669291338583,0.422251968503937,3.4445275590551176,0.01820020222446916,-4.006322573726547,3.472770939955401
160,0.519396,4,4103,0.4216417322834646,0.23255905511811026,5.618720472440945,0.0009748964172556666,-6.933179331322296,5.6393160234151996
161,0.47532299999999994,33,3769,-0.14946889763779528,-0.27514960629921265,3.6367346456692915,0.008755638100291854,-4.738057431800655,3.6501900142621366
169,0.47795200000000004,1,3890,0.44035039370078743,0.266546062992126,7.164405511811024,0.0002570694087403599,-8.266164436612492,7.182872796492864
181,0.542538,145,4322,0.18742007874015748,-0.01819196850393701,0.42730708661417327,0.03354928273947247,-3.3947397946462567,0.4669567216602708
190,0.480284,278,3944,0.474744094488189,0.0827523622047244,0.375082677165354,0.0704868154158215,-2.652329602031889,0.6106692422346172
196,0.465024,65,3740,0.21012952755905515,-0.1989003937007874,1.6813622047244092,0.017379679144385027,-4.0524536205129404,1.706075803838225
199,0.47593900000000006,10,3787,0.42458661417322835,-0.5135118110236221,5.275598425196851,0.0026406126221283337,-5.9367443349077496,5.3175094656178405
211,0.498054,3,3920,0.10439212598425197,0.17952677165354333,5.628456692913385,0.0007653061224489796,-7.175234644116399,5.632286597973272
212,0.469602,4,3834,-0.17016299212598426,-0.3666846456692913,6.422523622047244,0.0010432968179447052,-6.865369562485699,6.4352329211158885
226,0.468336,21,3784,0.2919562992125984,-0.13021023622047245,2.42948031496063,0.005549682875264271,-5.194014492448346,2.4504219610197158
237,0.4778,2,3810,0.6323031496062993,-0.18263858267716535,6.690090551181102,0.0005249343832020997,-7.552237287560802,6.7223861617648115
238,0.5793189999999999,3,4046,0.6130196850393701,0.46730314960629926,5.7765944881889775,0.0007414730598121602,-7.206871729059581,5.82779626006718
243,0.46643900000000005,9,3701,0.07995118110236221,-0.5488228346456693,4.716787401574804,0.002431775195893002,-6.019133755049936,4.749282270706065
262,0.5522050000000001,109,4364,-0.17341574803149606,-0.2612688976377953,0.6246692913385824,0.024977085242896425,-3.689796464723818,0.6989607872260352
276,0.47488,4,3747,-0.020493740157480317,0.5137874015748032,3.7859681102362206,0.0010675206832132373,-6.842416437673797,3.8207266349646436
280,0.4647,9,3666,0.4255275590551182,-0.2594633858267717,4.941641732283465,0.0024549918166939444,-6.009631851063431,4.966710980351648
292,0.48115699999999995,28,4021,-0.09271535433070868,0.19820826771653544,1.9453503937007874,0.006963441929868192,-4.96708139672207,1.9576186576020538
302,0.46617600000000003,2,3748,-0.03136122047244095,-0.49754330708661426,6.147366141732284,0.0005336179295624333,-7.535830462798367,6.167547596013562
304,0.453325,46,3631,0.17728779527559055,0.49983858267716536,2.1827125984251965,0.012668686312310658,-4.368621974925241,2.2462199042859696
311,0.476283,6,3874,0.0026688346456692907,-0.12286929133858268,2.8800984251968504,0.0015487867836861124,-6.470283374738886,2.8827193627291905
319,0.46408699999999997,3,3746,0.717988188976378,-0.3498031496062992,5.783417322834646,0.000800854244527496,-7.129831594335924,5.8383032820373355
322,0.46839200000000003,5,3668,0.17398897637795277,0.3628114173228347,4.502346456692914,0.0013631406761177754,-6.597963920942255,4.520290688057139
323,0.529299,11,4266,0.37185236220472445,0.3406728346456693,4.047228740157481,0.0025785278949835913,-5.960536626232925,4.078528243705008
324,0.46547,14,3842,-0.21446338582677163,0.045048031496063,0.21109448818897592,0.003643935450286309,-5.6146910137132435,0.30427742595486557
325,0.47274399999999994,31,3885,0.26830039370078745,-0.5576377952755907,2.8391653543307087,0.00797940797940798,-4.830891058316602,2.9058225894248326
327,0.5062949999999999,7,4078,-0.09964291338582679,0.3097200787401575,4.284427952755905,0.0017165277096615988,-6.367451802079088,4.296763679761662
328,0.455765,77,3607,-0.24460354330708664,0.25049055118110236,2.6071181102362204,0.02134738009426116,-3.846826259049855,2.6305210986325647
331,0.46170600000000006,1,3772,0.26826181102362207,-0.4244212598425197,7.474027559055119,0.0002651113467656416,-8.235360643753348,7.490873497702081
334,0.483562,2,3877,0.06145866141732284,0.2639496062992126,5.243838582677165,0.0005158627805003869,-7.569669757110984,5.250837042120273
341,0.527563,3,4121,0.5637716535433072,0.35473976377952754,7.507681102362205,0.0007279786459597186,-7.2252388426707075,7.537171506083159
348,0.580224,40,4650,0.7239173228346457,-0.3495464566929134,2.267964566929134,0.008602150537634409,-4.755743044467466,2.406221580098704
351,0.467966,3,3812,-0.05418110236220473,-0.026943307086614177,4.384316535433071,0.0007869884575026233,-7.147296976105983,4.384734087321807
354,0.507023,5,4100,-0.10158425196850396,-0.06064370078740158,5.146244094488189,0.0012195121951219512,-6.709304340258298,5.147603840501691
355,0.482847,34,3879,0.05462086614173229,0.09788661417322836,2.988433070866142,0.008765145656096932,-4.736972142823806,2.990534642384002
362,0.476653,2,3727,0.0011688267716535433,-0.27882204724409454,6.859145669291339,0.0005366246310705661,-7.530211718919313,6.8648104425937015
369,0.521875,353,4068,0.10595866141732284,0.03179622047244095,0.7117795275590552,0.0867748279252704,-2.4444387002351537,0.7203251581181063
374,0.46804799999999996,2,3743,0.48425196850393704,0.47407874015748036,6.861610236220472,0.0005343307507347048,-7.534495527344483,6.8949942461669105
382,0.47207200000000005,103,3738,0.1443484251968504,0.17504606299212597,1.5039527559055117,0.027554842161583736,-3.591576999785872,1.5209705730294842
401,0.48298199999999997,6,3833,-0.006273228346456694,-0.3389078740157481,5.861834645669292,0.0015653535090007827,-6.4596435961525005,5.871626973304128
403,0.47398100000000004,12,3816,0.2790098425196851,0.15121299212598424,3.268704724409449,0.0031446540880503146,-5.762051382780177,3.284074060764648
405,0.48227600000000004,20,3949,-0.18023070866141735,0.06637047244094488,2.871181102362205,0.0050645733096986575,-5.285485387732659,2.8775977951267753
406,0.462567,10,3736,-0.0574996062992126,-0.5339566929133859,3.3074133858267714,0.0026766595289079227,-5.923185706354688,3.3507311529541832
408,0.461557,2,3675,0.6730314960629922,0.11773858267716536,6.442740157480316,0.0005442176870748299,-7.516161231086992,6.47886830436868
412,0.528846,2,4254,-0.19062795275590552,0.031430511811023625,6.381444881889764,0.0004701457451810061,-7.6624678152002375,6.384368854792279
429,0.492809,1,3985,0.3491429133858268,-0.17092283464566932,7.113338582677166,0.0002509410288582183,-8.290292591224315,7.123952637488155
430,0.509702,46,4008,0.2412984251968504,0.32069960629921257,3.0214448818897637,0.011477045908183632,-4.467406246275606,3.0479833237373195
435,0.459027,3,3694,-0.2494125984251969,-0.040885039370078737,7.346716535433072,0.0008121277747698972,-7.115852872091075,7.351062649896491
440,0.45097600000000004,2,3643,0.2877397637795276,-0.4085275590551181,6.307007874015747,0.0005489980785067252,-7.507415616448618,6.326771472169994
441,0.48502399999999996,9,3912,0.6919055118110237,0.1416248031496063,3.797569291338583,0.0023006134969325155,-6.0745794538184885,3.862683438318427
442,0.476735,4,3860,0.34830039370078747,0.49154724409448824,4.236474409448819,0.0010362694300518134,-6.872128101338986,4.2790942124874665
448,0.45445100000000005,3,3653,0.5268976377952757,-0.542251968503937,6.125559055118111,0.0008212428141253764,-7.104691738127173,6.172044398398323
449,0.49112700000000004,6,3885,0.6181732283464567,-0.3002732283464567,5.560594488188977,0.0015444015444015444,-6.4731187935736925,5.602902213494674
451,0.48143199999999997,77,3976,0.6486456692913386,-0.19770314960629923,1.7675708661417322,0.01936619718309859,-3.944226145922781,1.8931810548618144
452,0.456905,177,3675,0.09396771653543307,0.3599244094488189,1.021952755905512,0.04816326530612245,-3.0331586790731078,1.0875490552480083
453,0.522858,8,4238,0.16497834645669293,-0.5437992125984252,3.9560429133858266,0.0018876828692779614,-6.272405197148409,3.996649968532705
456,0.475495,3,3868,0.2786370078740158,0.13969330708661418,5.873866141732284,0.0007755946225439503,-7.161880567905075,5.882130247894098
471,0.481108,63,3656,-0.2516472440944882,0.2543527559055118,1.5234055118110232,0.01723194748358862,-4.060990206182508,1.5648597423773434
472,0.516749,50,4126,0.20586377952755908,-0.05606811023622047,2.3176535433070864,0.012118274357731459,-4.4130406882030515,2.3274538610917137
474,0.45342,3,3640,0.21051496062992128,0.5652086614173228,4.57444094488189,0.0008241758241758242,-7.101126671962676,4.614031570958536
486,0.4605,1,3799,0.6137125984251969,-0.5119645669291338,5.7347677165354325,0.00026322716504343247,-8.242493153187626,5.790190984231328
487,0.466041,44,3649,0.7261535433070866,-0.18016181102362205,1.941287401574803,0.012058098109070978,-4.418018802518186,2.080469663831174
493,0.503727,3,4142,0.3232098425196851,0.3069590551181103,4.932102362204724,0.0007242877836793819,-7.23032175328742,4.952203769544022
501,0.499755,9,3871,-0.11655984251968504,0.3947204724409449,4.623106299212599,0.002324980625161457,-6.064043573241428,4.6413901260367485
503,0.477462,5,3741,0.08956653543307089,-0.38349133858267725,4.550570866141732,0.0013365410318096765,-6.617670321914046,4.5675795536383745
505,0.47912,5,4003,0.3147330708661417,0.15227519685039373,7.065421259842521,0.0012490632025980515,-6.685361446558473,7.074066879844106
510,0.539773,10,4376,0.30071929133858266,-0.1667503937007874,4.4100866141732284,0.0022851919561243145,-6.081305251107771,4.423471683021429
524,0.45943599999999996,2,3780,0.7057755905511811,0.3843641732283465,6.867854330708662,0.0005291005291005291,-7.544332108053688,6.914714607972848
525,0.494378,19,3985,0.6997952755905512,0.48944881889763786,3.480582677165354,0.004767879548306148,-5.345853612057875,3.5838149152324665
526,0.45936099999999996,1,3788,0.07145511811023622,-0.17847165354330713,7.119279527559056,0.00026399155227032733,-8.239593454305968,7.121874679924108
545,0.48007700000000003,11,3847,-0.10566732283464567,-0.0867708661417323,1.0928661417322834,0.0028593709383935534,-5.857153629953925,1.1013860222786718
547,0.527617,90,4170,0.2986893700787402,-0.35608228346456694,2.0115748031496063,0.02158273381294964,-3.835861644462582,2.0645685072338367
548,0.474495,28,3833,0.4681220472440945,0.566492125984252,3.0253425196850396,0.007304983042003652,-4.919198555205351,3.1133179955366566
556,0.45936499999999997,140,3685,0.6134291338582677,0.4183897637795276,1.4511102362204724,0.037991858887381276,-3.2703833820141326,1.6300509852042755
557,0.470815,3,3865,-0.22389133858267718,-0.44320866141732285,4.954842519685039,0.0007761966364812419,-7.161104672353413,4.979661197704766
560,0.46141099999999996,20,3718,0.44058661417322836,-0.03963385826771654,3.162889763779528,0.0053792361484669175,-5.225208894727398,3.193674852756794
562,0.455064,27,3750,-0.24575905511811025,0.3046535433070866,2.6916811023622045,0.0072,-4.933674252960127,2.719992362385586
567,0.454194,3,3653,0.4431535433070866,-0.391048031496063,5.961047244094488,0.0008212428141253764,-7.104691738127173,5.9902744404750825
570,0.507085,1,4002,-0.13905314960629922,-0.1150964566929134,6.029444881889764,0.0002498750624687656,-8.294549515143679,6.032146264515257
571,0.526197,107,4190,0.17372637795275592,0.09270433070866142,0.8849566929133855,0.025536992840095467,-3.667627178454277,0.9065998542140412
572,0.474926,4,3810,0.6006181102362205,0.3342342519685039,6.613826771653543,0.0010498687664041995,-6.859090107000856,6.649448038369336
573,0.45641800000000005,15,3579,0.27115866141732287,-0.20628582677165355,3.436385826771654,0.004191114836546521,-5.474788509663815,3.4532344855838564
576,0.512033,4,4154,0.20158622047244096,-0.41834645669291337,7.236078740157481,0.0009629272989889263,-6.945532643316167,7.250964507972092
581,0.46968000000000004,3,3763,-0.22361692913385825,0.3094885826771654,3.8870007874015746,0.0007972362476747276,-7.134359501925328,3.905709005425678
