#class tools::histo::h1d,,,,
#title Edep in scintillator,,,,
#dimension 1,,,,
#axis fixed 100 0 1,,,,
#annotation axis_x.title ,,,,
#bin_number 102,,,,
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
43,43,43,0,0
0,0,0,0,0
1,1,1,0.025359,0.000643079
0,0,0,0,0
4,4,4,0.175445,0.00772393
2,2,2,0.116479,0.00678372
1,1,1,0.063954,0.00409011
0,0,0,0,0
0,0,0,0,0
1,1,1,0.0967162,0.00935403
2,2,2,0.205671,0.0211541
1,1,1,0.117053,0.0137013
2,2,2,0.243156,0.0295672
0,0,0,0,0
0,0,0,0,0
1,1,1,0.152221,0.0231713
0,0,0,0,0
2,2,2,0.350256,0.0613632
1,1,1,0.182809,0.033419
1,1,1,0.199923,0.0399692
1,1,1,0.207998,0.0432633
1,1,1,0.217127,0.0471442
0,0,0,0,0
0,0,0,0,0
3,3,3,0.730294,0.177777
1,1,1,0.251768,0.0633871
0,0,0,0,0
3,3,3,0.829771,0.22951
2,2,2,0.5677,0.161171
1,1,1,0.296288,0.0877864
1,1,1,0.304196,0.0925349
1,1,1,0.31405,0.0986275
3,3,3,0.971337,0.314499
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.378056,0.142926
0,0,0,0,0
2,2,2,0.788295,0.310707
0,0,0,0,0
2,2,2,0.829814,0.344296
0,0,0,0,0
2,2,2,0.872233,0.380421
0,0,0,0,0
3,3,3,1.36537,0.621423
2,2,2,0.934324,0.436481
2,2,2,0.948498,0.449842
0,0,0,0,0
2,2,2,0.990317,0.490377
3,3,3,1.51437,0.764476
1,1,1,0.517134,0.267427
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.577425,0.333419
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
